city,year,weekofyear,total_cases
sj,2008,18,8
sj,2008,19,24
sj,2008,20,9
sj,2008,21,14
sj,2008,22,2
sj,2008,23,90
sj,2008,24,5
sj,2008,25,22
sj,2008,26,25
sj,2008,27,25
sj,2008,28,47
sj,2008,29,19
sj,2008,30,58
sj,2008,31,27
sj,2008,32,215
sj,2008,33,10
sj,2008,34,27
sj,2008,35,107
sj,2008,36,8
sj,2008,37,173
sj,2008,38,14
sj,2008,39,2
sj,2008,40,31
sj,2008,41,11
sj,2008,42,41
sj,2008,43,53
sj,2008,44,10
sj,2008,45,28
sj,2008,46,31
sj,2008,47,14
sj,2008,48,22
sj,2008,49,19
sj,2008,50,7
sj,2008,51,22
sj,2008,52,39
sj,2009,1,2
sj,2009,2,18
sj,2009,3,31
sj,2009,4,25
sj,2009,5,17
sj,2009,6,11
sj,2009,7,15
sj,2009,8,12
sj,2009,9,7
sj,2009,10,13
sj,2009,11,16
sj,2009,12,13
sj,2009,13,3
sj,2009,14,1
sj,2009,15,13
sj,2009,16,7
sj,2009,17,38
sj,2009,18,49
sj,2009,19,8
sj,2009,20,72
sj,2009,21,18
sj,2009,22,40
sj,2009,23,45
sj,2009,24,13
sj,2009,25,9
sj,2009,26,19
sj,2009,27,5
sj,2009,28,15
sj,2009,29,19
sj,2009,30,5
sj,2009,31,14
sj,2009,32,11
sj,2009,33,150
sj,2009,34,33
sj,2009,35,64
sj,2009,36,7
sj,2009,37,25
sj,2009,38,7
sj,2009,39,14
sj,2009,40,21
sj,2009,41,35
sj,2009,42,12
sj,2009,43,20
sj,2009,44,35
sj,2009,45,17
sj,2009,46,24
sj,2009,47,7
sj,2009,48,71
sj,2009,49,27
sj,2009,50,57
sj,2009,51,24
sj,2009,52,34
sj,2010,53,4
sj,2010,1,25
sj,2010,2,36
sj,2010,3,10
sj,2010,4,12
sj,2010,5,40
sj,2010,6,6
sj,2010,7,21
sj,2010,8,70
sj,2010,9,20
sj,2010,10,13
sj,2010,11,62
sj,2010,12,6
sj,2010,13,34
sj,2010,14,15
sj,2010,15,20
sj,2010,16,184
sj,2010,17,20
sj,2010,18,12
sj,2010,19,8
sj,2010,20,37
sj,2010,21,44
sj,2010,22,10
sj,2010,23,11
sj,2010,24,6
sj,2010,25,18
sj,2010,26,40
sj,2010,27,180
sj,2010,28,57
sj,2010,29,14
sj,2010,30,20
sj,2010,31,38
sj,2010,32,42
sj,2010,33,8
sj,2010,34,6
sj,2010,35,6
sj,2010,36,45
sj,2010,37,54
sj,2010,38,76
sj,2010,39,52
sj,2010,40,20
sj,2010,41,33
sj,2010,42,36
sj,2010,43,26
sj,2010,44,21
sj,2010,45,1
sj,2010,46,41
sj,2010,47,13
sj,2010,48,15
sj,2010,49,30
sj,2010,50,8
sj,2010,51,3
sj,2011,52,25
sj,2011,1,19
sj,2011,2,11
sj,2011,3,12
sj,2011,4,31
sj,2011,5,23
sj,2011,6,14
sj,2011,7,27
sj,2011,8,13
sj,2011,9,28
sj,2011,10,12
sj,2011,11,32
sj,2011,12,68
sj,2011,13,19
sj,2011,14,14
sj,2011,15,23
sj,2011,16,18
sj,2011,17,41
sj,2011,18,10
sj,2011,19,27
sj,2011,20,7
sj,2011,21,0
sj,2011,22,23
sj,2011,23,19
sj,2011,24,8
sj,2011,25,13
sj,2011,26,211
sj,2011,27,40
sj,2011,28,29
sj,2011,29,4
sj,2011,30,13
sj,2011,31,15
sj,2011,32,5
sj,2011,33,51
sj,2011,34,10
sj,2011,35,1
sj,2011,36,40
sj,2011,37,15
sj,2011,38,60
sj,2011,39,13
sj,2011,40,24
sj,2011,41,42
sj,2011,42,31
sj,2011,43,28
sj,2011,44,37
sj,2011,45,21
sj,2011,46,35
sj,2011,47,61
sj,2011,48,6
sj,2011,49,8
sj,2011,50,36
sj,2011,51,22
sj,2012,52,36
sj,2012,1,10
sj,2012,2,9
sj,2012,3,6
sj,2012,4,15
sj,2012,5,11
sj,2012,6,2
sj,2012,7,9
sj,2012,8,22
sj,2012,9,14
sj,2012,10,6
sj,2012,11,8
sj,2012,12,6
sj,2012,13,25
sj,2012,14,41
sj,2012,15,23
sj,2012,16,30
sj,2012,17,13
sj,2012,18,15
sj,2012,19,21
sj,2012,20,34
sj,2012,21,24
sj,2012,22,26
sj,2012,23,7
sj,2012,24,45
sj,2012,25,10
sj,2012,26,31
sj,2012,27,13
sj,2012,28,12
sj,2012,29,56
sj,2012,30,45
sj,2012,31,39
sj,2012,32,11
sj,2012,33,12
sj,2012,34,11
sj,2012,35,8
sj,2012,36,54
sj,2012,37,44
sj,2012,38,32
sj,2012,39,67
sj,2012,40,16
sj,2012,41,47
sj,2012,42,66
sj,2012,43,36
sj,2012,44,10
sj,2012,45,22
sj,2012,46,80
sj,2012,47,40
sj,2012,48,44
sj,2012,49,28
sj,2012,50,46
sj,2012,51,36
sj,2013,1,43
sj,2013,2,9
sj,2013,3,14
sj,2013,4,6
sj,2013,5,27
sj,2013,6,24
sj,2013,7,19
sj,2013,8,6
sj,2013,9,11
sj,2013,10,67
sj,2013,11,20
sj,2013,12,30
sj,2013,13,10
sj,2013,14,43
sj,2013,15,16
sj,2013,16,27
sj,2013,17,15
iq,2010,26,14
iq,2010,27,4
iq,2010,28,18
iq,2010,29,1
iq,2010,30,1
iq,2010,31,9
iq,2010,32,4
iq,2010,33,1
iq,2010,34,1
iq,2010,35,0
iq,2010,36,6
iq,2010,37,15
iq,2010,38,0
iq,2010,39,3
iq,2010,40,19
iq,2010,41,8
iq,2010,42,5
iq,2010,43,10
iq,2010,44,8
iq,2010,45,4
iq,2010,46,32
iq,2010,47,72
iq,2010,48,6
iq,2010,49,6
iq,2010,50,4
iq,2010,51,19
iq,2011,52,19
iq,2011,1,5
iq,2011,2,30
iq,2011,3,7
iq,2011,4,23
iq,2011,5,22
iq,2011,6,7
iq,2011,7,7
iq,2011,8,15
iq,2011,9,4
iq,2011,10,3
iq,2011,11,2
iq,2011,12,19
iq,2011,13,6
iq,2011,14,5
iq,2011,15,10
iq,2011,16,1
iq,2011,17,2
iq,2011,18,1
iq,2011,19,1
iq,2011,20,8
iq,2011,21,19
iq,2011,22,3
iq,2011,23,2
iq,2011,24,8
iq,2011,25,14
iq,2011,26,7
iq,2011,27,9
iq,2011,28,11
iq,2011,29,2
iq,2011,30,34
iq,2011,31,11
iq,2011,32,19
iq,2011,33,9
iq,2011,34,2
iq,2011,35,4
iq,2011,36,4
iq,2011,37,2
iq,2011,38,30
iq,2011,39,4
iq,2011,40,2
iq,2011,41,6
iq,2011,42,3
iq,2011,43,23
iq,2011,44,4
iq,2011,45,6
iq,2011,46,4
iq,2011,47,2
iq,2011,48,4
iq,2011,49,17
iq,2011,50,3
iq,2011,51,8
iq,2012,52,13
iq,2012,1,33
iq,2012,2,6
iq,2012,3,12
iq,2012,4,9
iq,2012,5,4
iq,2012,6,19
iq,2012,7,7
iq,2012,8,13
iq,2012,9,3
iq,2012,10,9
iq,2012,11,6
iq,2012,12,2
iq,2012,13,6
iq,2012,14,17
iq,2012,15,9
iq,2012,16,11
iq,2012,17,13
iq,2012,18,6
iq,2012,19,3
iq,2012,20,7
iq,2012,21,6
iq,2012,22,3
iq,2012,23,32
iq,2012,24,41
iq,2012,25,5
iq,2012,26,9
iq,2012,27,2
iq,2012,28,22
iq,2012,29,4
iq,2012,30,1
iq,2012,31,0
iq,2012,32,4
iq,2012,33,3
iq,2012,34,0
iq,2012,35,7
iq,2012,36,1
iq,2012,37,2
iq,2012,38,2
iq,2012,39,94
iq,2012,40,5
iq,2012,41,13
iq,2012,42,2
iq,2012,43,2
iq,2012,44,4
iq,2012,45,0
iq,2012,46,5
iq,2012,47,116
iq,2012,48,8
iq,2012,49,3
iq,2012,50,5
iq,2012,51,4
iq,2013,1,3
iq,2013,2,8
iq,2013,3,5
iq,2013,4,11
iq,2013,5,8
iq,2013,6,1
iq,2013,7,15
iq,2013,8,6
iq,2013,9,12
iq,2013,10,26
iq,2013,11,47
iq,2013,12,4
iq,2013,13,4
iq,2013,14,3
iq,2013,15,2
iq,2013,16,140
iq,2013,17,14
iq,2013,18,4
iq,2013,19,10
iq,2013,20,0
iq,2013,21,4
iq,2013,22,26
iq,2013,23,1
iq,2013,24,5
iq,2013,25,4
iq,2013,26,3
