city,year,weekofyear,total_cases
sj,2008,18,28
sj,2008,19,22
sj,2008,20,8
sj,2008,21,32
sj,2008,22,37
sj,2008,23,16
sj,2008,24,37
sj,2008,25,38
sj,2008,26,44
sj,2008,27,42
sj,2008,28,39
sj,2008,29,40
sj,2008,30,50
sj,2008,31,10
sj,2008,32,44
sj,2008,33,30
sj,2008,34,44
sj,2008,35,45
sj,2008,36,47
sj,2008,37,45
sj,2008,38,41
sj,2008,39,40
sj,2008,40,41
sj,2008,41,42
sj,2008,42,19
sj,2008,43,32
sj,2008,44,42
sj,2008,45,41
sj,2008,46,36
sj,2008,47,37
sj,2008,48,35
sj,2008,49,28
sj,2008,50,27
sj,2008,51,27
sj,2008,52,23
sj,2009,1,25
sj,2009,2,19
sj,2009,3,28
sj,2009,4,27
sj,2009,5,26
sj,2009,6,25
sj,2009,7,22
sj,2009,8,22
sj,2009,9,20
sj,2009,10,21
sj,2009,11,23
sj,2009,12,16
sj,2009,13,16
sj,2009,14,19
sj,2009,15,21
sj,2009,16,25
sj,2009,17,27
sj,2009,18,29
sj,2009,19,28
sj,2009,20,30
sj,2009,21,30
sj,2009,22,32
sj,2009,23,36
sj,2009,24,37
sj,2009,25,39
sj,2009,26,38
sj,2009,27,37
sj,2009,28,43
sj,2009,29,42
sj,2009,30,43
sj,2009,31,45
sj,2009,32,43
sj,2009,33,46
sj,2009,34,43
sj,2009,35,44
sj,2009,36,46
sj,2009,37,45
sj,2009,38,45
sj,2009,39,43
sj,2009,40,46
sj,2009,41,47
sj,2009,42,45
sj,2009,43,43
sj,2009,44,41
sj,2009,45,41
sj,2009,46,39
sj,2009,47,38
sj,2009,48,37
sj,2009,49,37
sj,2009,50,39
sj,2009,51,36
sj,2009,52,34
sj,2010,53,29
sj,2010,1,28
sj,2010,2,27
sj,2010,3,29
sj,2010,4,28
sj,2010,5,28
sj,2010,6,24
sj,2010,7,28
sj,2010,8,31
sj,2010,9,33
sj,2010,10,32
sj,2010,11,27
sj,2010,12,33
sj,2010,13,32
sj,2010,14,29
sj,2010,15,28
sj,2010,16,32
sj,2010,17,40
sj,2010,18,39
sj,2010,19,36
sj,2010,20,39
sj,2010,21,40
sj,2010,22,48
sj,2010,23,44
sj,2010,24,42
sj,2010,25,44
sj,2010,26,42
sj,2010,27,45
sj,2010,28,47
sj,2010,29,46
sj,2010,30,42
sj,2010,31,43
sj,2010,32,51
sj,2010,33,45
sj,2010,34,45
sj,2010,35,50
sj,2010,36,50
sj,2010,37,46
sj,2010,38,47
sj,2010,39,46
sj,2010,40,44
sj,2010,41,45
sj,2010,42,39
sj,2010,43,39
sj,2010,44,43
sj,2010,45,43
sj,2010,46,32
sj,2010,47,31
sj,2010,48,31
sj,2010,49,20
sj,2010,50,27
sj,2010,51,28
sj,2011,52,27
sj,2011,1,23
sj,2011,2,27
sj,2011,3,24
sj,2011,4,24
sj,2011,5,23
sj,2011,6,25
sj,2011,7,24
sj,2011,8,21
